From;To;Source
cs+class://Microsoft/CodeAnalysis/CSharp/CSharpCompilation;cs+class://Microsoft/CodeAnalysis/Compilation;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CSharpCompilationReference;cs+class://Microsoft/CodeAnalysis/CompilationReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/InitializerSemanticModel;cs+class://Microsoft/CodeAnalysis/CSharp/MemberSemanticModel;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MemberSemanticModel/IncrementalBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MemberSemanticModel/SpeculativeMemberSemanticModel;cs+class://Microsoft/CodeAnalysis/CSharp/MemberSemanticModel;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/MethodBodySemanticModel;cs+class://Microsoft/CodeAnalysis/CSharp/MemberSemanticModel;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/SpeculativeSyntaxTreeSemanticModel;cs+class://Microsoft/CodeAnalysis/CSharp/SyntaxTreeSemanticModel;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/AnonymousTypeConstructorSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/SynthesizedMethodBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/AnonymousTypePropertyGetAccessorSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/SynthesizedMethodBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/AnonymousTypeEqualsMethodSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/SynthesizedMethodBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/AnonymousTypeGetHashCodeMethodSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/SynthesizedMethodBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/AnonymousTypeToStringMethodSymbol;cs+class://Microsoft/CodeAnalysis/CSharp/Symbols/AnonymousTypeManager/SynthesizedMethodBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/DocumentationCommentCompiler/DocumentationCommentWalker;cs+class://Microsoft/CodeAnalysis/CSharp/CSharpSyntaxWalker;(not implemented)
