fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentOneChildDiffCollectionDiffChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithNullChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithNoChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();CreateParentWithNoChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithOneChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();CreateParentWithOneChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/ParentWithBidirectionalManyToMany;cs+class://NHibernate/Test/Events/Collections/AbstractParentWithCollection;IChild CreateChild(String);IChild CreateChild(String);AddChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/ParentWithBidirectionalManyToMany;cs+class://NHibernate/Test/Events/Collections/AbstractParentWithCollection;Void AddChild(IChild);Void AddChild(IChild);AddChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/OneToMany/BidirectionalOneToManyBagCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);OnTearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/OneToMany/BidirectionalOneToManyBagCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();OnTearDown
