fromType;toType;fromMethod;toMethod;calledFrom
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Task ReadAsync(UnknownType, Int32, Int32, CancellationToken);Task ReadAsync(UnknownType, Int32, Int32, CancellationToken);ReadAsync
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 ReadByte();Int32 ReadByte();ReadByte
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int64 Seek(Int64, UnknownType);Int64 Seek(Int64, UnknownType);Seek
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 EndRead(IAsyncResult);Int32 EndRead(IAsyncResult);EndRead
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 Read(UnknownType, Int32, Int32);Int32 Read(UnknownType, Int32, Int32);Read
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Task ReadAsync(UnknownType, Int32, Int32, CancellationToken);Task ReadAsync(UnknownType, Int32, Int32, CancellationToken);ReadAsync
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 ReadByte();Int32 ReadByte();ReadByte
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int64 Seek(Int64, UnknownType);Int64 Seek(Int64, UnknownType);Seek
cs+class://System/Web/Http/WebHost/Routing/HostedHttpRouteCollection;cs+class://System/Web/Http/HttpRouteCollection;IHttpRoute CreateRoute(String, IDictionary, IDictionary, IDictionary, HttpMessageHandler);IHttpRoute CreateRoute(String, IDictionary, IDictionary, IDictionary, HttpMessageHandler);CreateRoute
cs+class://System/Web/Http/WebHost/Routing/HostedHttpRouteCollection;cs+class://System/Web/Http/HttpRouteCollection;IHttpRoute CreateRoute(String, IDictionary, IDictionary, IDictionary, HttpMessageHandler);IHttpRoute CreateRoute(String, IDictionary, IDictionary, IDictionary, HttpMessageHandler);CreateRoute
cs+class://System/Web/Http/WebHost/Routing/HostedHttpRouteCollection;cs+class://System/Web/Http/HttpRouteCollection;Void ValidateConstraint(String, String, Object);Void ValidateConstraint(String, String, Object);CreateRoute
cs+class://System/Web/Http/WebHost/Routing/HostedHttpRouteCollection;cs+class://System/Web/Http/HttpRouteCollection;Void Clear();Void Clear();Clear
cs+class://System/Web/Http/WebHost/Routing/HostedHttpRouteCollection;cs+class://System/Web/Http/HttpRouteCollection;Void CopyTo(UnknownType, Int32);Void CopyTo(UnknownType, Int32);CopyTo
cs+class://System/Web/Http/ApiExplorer/ParameterSourceController/MyFromUriAttribute;cs+class://System/Web/Http/ModelBinding/ModelBinderAttribute;IEnumerable GetValueProviderFactories(HttpConfiguration);IEnumerable GetValueProviderFactories(HttpConfiguration);GetBinding
cs+class://System/Web/Http/ApiExplorer/ParameterSourceController/FromHeaderAttribute;cs+class://System/Web/Http/ModelBinding/ModelBinderAttribute;IEnumerable GetValueProviderFactories(HttpConfiguration);IEnumerable GetValueProviderFactories(HttpConfiguration);GetBinding
cs+class://System/Web/Http/ApiExplorer/ItemFormatter;cs+class://System/Net/Http/Formatting/BufferedMediaTypeFormatter;Void WriteToStream(Type, Object, Stream, HttpContent);Void WriteToStream(Type, Object, Stream, HttpContent);WriteToStream
cs+class://System/Web/Http/ApiExplorer/ItemFormatter;cs+class://System/Net/Http/Formatting/BufferedMediaTypeFormatter;Object ReadFromStream(Type, Stream, HttpContent, IFormatterLogger);Object ReadFromStream(Type, Stream, HttpContent, IFormatterLogger);ReadFromStream
