From;To;Source
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerAssociationSet;cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerRelationshipSet;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerAssociationSetEnd;cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerRelationshipSetEnd;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerEntitySet;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerEntitySetDefiningQuery;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerRelationshipSet;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainerRelationshipSetEnd;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityKeyElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetDescriptionElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetEnabledSchemaElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/Function;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaType;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/FunctionCommandText;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/FunctionImportElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/Function;(not implemented)
