TypeName;SystemType
cs+class://System/Dynamic/InvokeMemberBinder;False
cs+class://System/Dynamic/InvokeBinder;False
cs+class://System/Dynamic/CreateInstanceBinder;False
cs+class://System/Dynamic/UnaryOperationBinder;False
cs+class://System/Dynamic/BinaryOperationBinder;False
cs+class://System/Dynamic/BindingRestrictions;False
cs+class://Newtonsoft/Json/Linq/JTokenEqualityComparer;False
cs+class://Newtonsoft/Json/Linq/JContainer;False
cs+class://System/ComponentModel/AddingNewEventArgs;False
cs+class://System/EventArgs;False
cs+class://System/ComponentModel/ListChangedEventArgs;False
cs+class://System/ComponentModel/PropertyDescriptor;False
cs+class://System/ComponentModel/MemberDescriptor;False
cs+class://System/ComponentModel/AttributeCollection;False
cs+interface://System/ComponentModel/ISite;False
cs+interface://System/IServiceProvider;False
cs+interface://System/ComponentModel/IComponent;False
cs+interface://System/ComponentModel/IContainer;False
cs+class://System/ComponentModel/ComponentCollection;False
cs+class://System/ComponentModel/PropertyDescriptorCollection;False
cs+class://System/ComponentModel/TypeConverter;False
cs+interface://System/ComponentModel/ITypeDescriptorContext;False
cs+class://System/ComponentModel/TypeConverter/StandardValuesCollection;False
cs+class://System/Collections/Specialized/NotifyCollectionChangedEventArgs;False
cs+interface://System/ComponentModel/ITypedList;False
cs+interface://System/ComponentModel/IBindingList;False
cs+interface://System/Collections/Specialized/INotifyCollectionChanged;False
cs+interface://Newtonsoft/Json/IJsonLineInfo;False
cs+interface://System/Dynamic/IDynamicMetaObjectProvider;False
cs+class://System/Net/Http/Formatting/FormUrlEncodedMediaTypeFormatter;False
cs+class://System/Web/Http/ModelBinding/ModelStateDictionary;False
cs+class://System/Web/Http/ModelBinding/ModelState;False
cs+class://System/Web/Http/ValueProviders/ValueProviderResult;False
cs+class://System/Web/Http/ModelBinding/ModelErrorCollection;False
cs+class://System/Web/Http/ModelBinding/ModelError;False
cs+class://System/Web/Http/Filters/HttpActionExecutedContext;False
cs+class://Umbraco/Web/Editors/DashboardController;True
cs+class://Umbraco/Web/Editors/UmbracoAuthorizedJsonController;True
cs+class://Umbraco/Web/Editors/DashboardSecurity;True
cs+class://Umbraco/Web/Editors/DataTypeController;True
cs+class://Umbraco/Web/Editors/DataTypeValidateAttribute;True
cs+class://Umbraco/Web/Editors/EntityControllerActionSelector;True
cs+class://System/Web/Http/Controllers/ApiControllerActionSelector;False
cs+interface://System/Linq/ILookup[2];False
cs+class://Umbraco/Web/Editors/EntityControllerConfigurationAttribute;True
cs+interface://System/Web/Http/Controllers/IControllerConfiguration;False
cs+class://System/Web/Http/Controllers/HttpControllerSettings;False
cs+class://Umbraco/Web/Editors/ImagesController;True
cs+class://Umbraco/Web/WebApi/UmbracoAuthorizedApiController;True
cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];True
cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];True
cs+interface://Umbraco/Web/Models/ContentEditing/IHaveUploadedFiles;True
cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;True
cs+class://Umbraco/Web/Models/DetachedContent;True
cs+class://Umbraco/Web/Models/ImageCropCoordinates;True
cs+class://Umbraco/Web/Models/ImageCropDataSet;True
cs+interface://System/Web/IHtmlString;False
cs+class://Umbraco/Web/Models/ImageCropFocalPoint;True
cs+class://Umbraco/Web/Install/DatabaseHelper;True
cs+class://Umbraco/Web/Install/InstallException;True
cs+class://Umbraco/Web/Install/InstallStatusTracker;True
cs+class://Umbraco/Web/Install/InstallSteps/DatabaseConfigureStep;True
cs+class://Umbraco/Web/Install/Models/InstallSetupStep[1];True
