direct?;source;from;to;from declaration
False;Return;cs+class://Umbraco/Core/Configuration/Dashboard/AreaElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];CreateNewElement in Umbraco.Core.Configuration.Dashboard.AreaCollection
False;Parameter;cs+class://Umbraco/Core/Configuration/Dashboard/ControlElement;cs+class://Umbraco/Core/Configuration/RawXmlConfigurationElement;Add in Umbraco.Core.Configuration.Dashboard.ControlCollection
False;Return;cs+class://Umbraco/Core/Configuration/Dashboard/ControlElement;cs+class://Umbraco/Core/Configuration/RawXmlConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.Dashboard.ControlCollection
True;Assignment;cs+class://Umbraco/Core/Configuration/Dashboard/DashboardSection;cs+interface://Umbraco/Core/Configuration/Dashboard/IDashboardSection;Init in Umbraco.Tests.Configurations.DashboardSettings.DashboardSettingsTests
True;Parameter;cs+class://Umbraco/Core/Configuration/Dashboard/SectionElement;cs+class://System/Configuration/ConfigurationElement;Add in Umbraco.Core.Configuration.Dashboard.SectionCollection
True;Return;cs+class://Umbraco/Core/Configuration/Dashboard/SectionElement;cs+class://System/Configuration/ConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.Dashboard.SectionCollection
True;Parameter;cs+class://Umbraco/Core/Configuration/Dashboard/TabElement;cs+class://System/Configuration/ConfigurationElement;Add in Umbraco.Core.Configuration.Dashboard.TabCollection
True;Return;cs+class://Umbraco/Core/Configuration/Dashboard/TabElement;cs+class://System/Configuration/ConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.Dashboard.TabCollection
True;Return;cs+class://Umbraco/Core/Configuration/FileSystemProviderElement;cs+class://System/Configuration/ConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.FileSystemProviderElementCollection
False;Parameter;cs+class://Umbraco/Core/Configuration/UmbracoSettings/CharElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];Add in Umbraco.Core.Configuration.UmbracoSettings.CharCollection
False;Return;cs+class://Umbraco/Core/Configuration/UmbracoSettings/CharElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];CreateNewElement in Umbraco.Core.Configuration.UmbracoSettings.CharCollection
True;Return;cs+class://Umbraco/Core/Configuration/CommaDelimitedConfigurationElement/InnerEnumerator;cs+interface://System/Collections/Generic/IEnumerator[1];GetEnumerator in Umbraco.Core.Configuration.CommaDelimitedConfigurationElement
False;Return;cs+class://Umbraco/Core/Configuration/CommaDelimitedConfigurationElement/InnerEnumerator;cs+interface://System/Collections/Generic/IEnumerator[1];GetEnumerator in Umbraco.Core.Configuration.CommaDelimitedConfigurationElement
False;Parameter;cs+class://Umbraco/Core/Configuration/UmbracoSettings/ContentErrorPageElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];Add in Umbraco.Core.Configuration.UmbracoSettings.ContentError404Collection
False;Return;cs+class://Umbraco/Core/Configuration/UmbracoSettings/ContentErrorPageElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];CreateNewElement in Umbraco.Core.Configuration.UmbracoSettings.ContentError404Collection
True;Return;cs+class://Umbraco/Core/Configuration/UmbracoSettings/ImagingAutoFillUploadFieldElement;cs+class://System/Configuration/ConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.UmbracoSettings.ImagingAutoFillPropertiesCollection
True;Parameter;cs+class://Umbraco/Core/Configuration/UmbracoSettings/ImagingAutoFillUploadFieldElement;cs+class://System/Configuration/ConfigurationElement;Add in Umbraco.Core.Configuration.UmbracoSettings.ImagingAutoFillPropertiesCollection
False;Parameter;cs+class://Umbraco/Core/Configuration/UmbracoSettings/FileExtensionElement;cs+class://Umbraco/Core/Configuration/InnerTextConfigurationElement[1];Add in Umbraco.Core.Configuration.UmbracoSettings.AppCodeFileExtensionsCollection
