Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
62;SDK;0,075008763;Replication Study;C#;Quartz;97;73;0,752577;32;0,329896;60;0,821917;2;0,027397;11;0,150684;2;0,020618;1;0,010309;7;0,072164;137;48;0,350364;2;0,014598;60;0,437956;27;0,19708;9;7;0,777777;0;0;1;0,111111;1;0,111111;0;0
63;database;0,730220007;Replication Study;C#;RavenDB;2368;1943;0,820523;209;0,08826;301;0,154915;67;0,034482;1575;0,810602;4;0,001689;31;0,013091;310;0,130912;284;157;0,552816;10;0,035211;29;0,102112;88;0,309859;17;7;0,411764;4;0,235294;1;0,058823;0;0;5;0,294117
64;tool/other;0,187385612;Replication Study;C#;Reflexil;598;569;0,951505;80;0,133779;472;0,829525;40;0,070298;57;0,100175;1;0,001672;16;0,026755;1;0,001672;179;120;0,670391;9;0,050279;18;0,100558;32;0,17877;29;17;0,586206;2;0,068965;0;0;2;0,068965;8;0,275862
65;testing;0,07673716;Replication Study;C#;Rhino.Mocks;60;53;0,883333;19;0,316666;41;0,773584;3;0,056603;9;0,169811;2;0,033333;0;0;5;0,083333;51;22;0,431372;0;0;10;0,196078;19;0,372549;6;2;0,333333;1;0,166666;0;0;0;0;3;0,5
66;programming language;0,753301259;Replication Study;C#;Roslyn;1889;1752;0,927474;419;0,22181;1238;0,706621;16;0,009132;498;0,284246;13;0,006881;7;0,003705;72;0,038115;385;182;0,472727;16;0,041558;83;0,215584;104;0,270129;141;97;0,687943;8;0,056737;20;0,141843;13;0,092198;3;0,021276
67;tool/other;0;Replication Study;C#;Sandcastle;283;270;0,954063;68;0,240282;245;0,907407;0;0;25;0,092592;8;0,028268;2;0,007067;1;0,003533;33;0;0;20;0,60606;2;0,060606;11;0,333333;2;1;0,5;0;0;0;0;0;0;1;0,5
68;middleware;0,025953454;Replication Study;C#;ScrewTurnWiki;86;85;0,988372;19;0,22093;20;0,235294;1;0,011764;64;0,752941;0;0;0;0;0;0;56;36;0,642857;4;0,071428;14;0,25;2;0,035714;9;6;0,666666;2;0,222222;1;0,111111;0;0;0;0
69;games;0;Replication Study;C#;SdlDotNet;87;79;0,908045;23;0,264367;65;0,822784;2;0,025316;12;0,151898;0;0;4;0,045977;1;0,011494;13;13;1;0;0;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
70;SDK;0,791957842;Replication Study;C#;ServiceStack;723;421;0,582295;160;0,2213;205;0,486935;15;0,035629;201;0,477434;8;0,011065;30;0,041493;51;0,070539;677;314;0,46381;182;0,268833;39;0,057607;142;0,209748;113;31;0,274336;8;0,070796;16;0,141592;15;0,132743;43;0,38053
71;IDE;0,32690893;Replication Study;C#;SharpDevelop;2889;2213;0,766008;1105;0,382485;1851;0,836421;33;0,014911;329;0,148666;16;0,005538;30;0,010384;153;0,052959;1235;694;0,561943;60;0,048582;169;0,136842;312;0,252631;170;93;0,547058;24;0,141176;3;0,017647;22;0,129411;28;0,164705
