fromType;toType;fromMethod;toMethod;calledFrom
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/ProjectTestSettingsViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingsViewModelBase;Task GetItemsAsync(ITestSettingService);Task GetItemsAsync(ITestSettingService);ResetItems
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingServiceViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingServiceViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/WeldTypeTestSettingsViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingsViewModelBase;Task GetItemsAsync(ITestSettingService);Task GetItemsAsync(ITestSettingService);ResetItems
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingsViewModelBase;cs+class://SifGroup/QualityManagement/Core/ViewModel/WorkspaceViewModelBase;Void OnActivated();Void OnActivated();(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Void ConfigureMultiEditProperties(IMultiEditConfiguration);Void ConfigureMultiEditProperties(IMultiEditConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnSelectedItemsChanged(Object, NotifyCollectionChangedEventArgs);Task OnSelectedItemsChanged(Object, NotifyCollectionChangedEventArgs);OnSelectedItemsCollectionChanged
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnSaveCompletedSuccessful();Task OnSaveCompletedSuccessful();CallSaveCompletedSuccessful
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnFinalizeRefresh();Task OnFinalizeRefresh();CallFinalizeRefresh
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
