Direct?;From;To;Type;Member;FromMember
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/ViewModelOnPurgeRequested
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketViewModel/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/PastAverageMarginProductSeries;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/MasterData/PastAverageMargin/GetMargins
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/ShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientsViewModel/OnChangesSaved
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/SurfaceTreatmentArea;cs+class://Qnh/Sbs/PricingTool/Common/Model/SurfaceTreatmentAreaBase;MethodCall;Section;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Item/GetArea
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/SurfaceTreatmentArea;cs+class://Qnh/Sbs/PricingTool/Common/Model/SurfaceTreatmentAreaBase;MethodCall;SurfaceTreatmentType;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Item/GetArea
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/SurfaceTreatmentArea;cs+class://Qnh/Sbs/PricingTool/Common/Model/SurfaceTreatmentAreaBase;MethodCall;Area;cs+class://Qnh/Sbs/PricingTool/Common/Model/MasterData/Item/GetArea
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/SellingPriceSimulation/SellingPriceSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Common/Model/SellingPriceSimulation/SellingPriceSimulationItem/Clone
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/SellingPriceSimulation/SellingPriceSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/SellingPriceSimulationBusiness/OpenExistingSimulation
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/SellingPriceSimulation/SellingPriceSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SellingPrice/SellingPriceSimulationViewModel/Duplicate
