fromType;toType;fromMethod;toMethod;calledFrom
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ApplicationSettings;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Void Initialize();Void Initialize();LoadOptions
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ApplicationSettings;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);comboBox_SelectionChanged
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ApplicationSettings;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Void Load(MSBuildBasedProject, String, String);Void Load(MSBuildBasedProject, String, String);Load
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ApplicationSettings;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);SaveOptions
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ReferencePaths;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);comboBox_SelectionChanged
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ReferencePaths;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Void Load(MSBuildBasedProject, String, String);Void Load(MSBuildBasedProject, String, String);Load
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ReferencePaths;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);SaveOptions
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/Signing;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);comboBox_SelectionChanged
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/Signing;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Void Load(MSBuildBasedProject, String, String);Void Load(MSBuildBasedProject, String, String);Load
cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/Signing;cs+class://ICSharpCode/SharpDevelop/Gui/OptionPanels/ProjectOptionPanel;Boolean Save(MSBuildBasedProject, String, String);Boolean Save(MSBuildBasedProject, String, String);SaveOptions
cs+class://ICSharpCode/SharpDevelop/Gui/ClearConsoleCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Gui/DeleteHistoryCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void Start(Boolean);Void Start(Boolean);Start
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ProcessStartInfo CreateStartInfo();ProcessStartInfo CreateStartInfo();CreateStartInfo
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ItemType GetDefaultItemType(String);ItemType GetDefaultItemType(String);GetDefaultItemType
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ProjectItem CreateProjectItem(IProjectItemBackendStore);ProjectItem CreateProjectItem(IProjectItemBackendStore);CreateProjectItem
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void ProjectLoaded();Void ProjectLoaded();ProjectLoaded
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;IEnumerable GetAvailableCompilerVersions();IEnumerable GetAvailableCompilerVersions();GetAvailableCompilerVersions
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void UpgradeProject(CompilerVersion, TargetFramework);Void UpgradeProject(CompilerVersion, TargetFramework);UpgradeProject
cs+class://ICSharpCode/SharpDevelop/Project/DefaultProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void SavePreferences(Properties);Void SavePreferences(Properties);SavePreferences
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ProcessStartInfo CreateStartInfo();ProcessStartInfo CreateStartInfo();CreateStartInfo
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ItemType GetDefaultItemType(String);ItemType GetDefaultItemType(String);GetDefaultItemType
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;ProjectItem CreateProjectItem(IProjectItemBackendStore);ProjectItem CreateProjectItem(IProjectItemBackendStore);CreateProjectItem
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void ProjectCreationComplete();Void ProjectCreationComplete();ProjectCreationComplete
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;IEnumerable GetAvailableCompilerVersions();IEnumerable GetAvailableCompilerVersions();GetAvailableCompilerVersions
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;IEnumerable GetAvailableTargetFrameworks();IEnumerable GetAvailableTargetFrameworks();GetAvailableTargetFrameworks
cs+class://ICSharpCode/SharpDevelop/Project/DotNetStartBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void UpgradeProject(CompilerVersion, TargetFramework);Void UpgradeProject(CompilerVersion, TargetFramework);UpgradeProject
cs+class://ICSharpCode/SharpDevelop/Project/Converter/ShowUpgradeView;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Project/PortableLibrary/CheckPortableLibraryInstalled;cs+class://ICSharpCode/Core/AbstractCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Project/PortableLibrary/ConvertToPortableLibraryProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;IEnumerable GetAvailableTargetFrameworks();IEnumerable GetAvailableTargetFrameworks();GetAvailableTargetFrameworks
cs+class://ICSharpCode/SharpDevelop/Project/PortableLibrary/ConvertToPortableLibraryProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void UpgradeProject(CompilerVersion, TargetFramework);Void UpgradeProject(CompilerVersion, TargetFramework);UpgradeProject
cs+class://ICSharpCode/SharpDevelop/Project/PortableLibrary/PortableLibraryProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;IEnumerable GetAvailableTargetFrameworks();IEnumerable GetAvailableTargetFrameworks();GetAvailableTargetFrameworks
cs+class://ICSharpCode/SharpDevelop/Project/PortableLibrary/PortableLibraryProjectBehavior;cs+class://ICSharpCode/SharpDevelop/Project/ProjectBehavior;Void UpgradeProject(CompilerVersion, TargetFramework);Void UpgradeProject(CompilerVersion, TargetFramework);UpgradeProject
cs+class://ICSharpCode/SharpDevelop/Commands/WordCount;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/CreateNewFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/CloseFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/SaveFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/ReloadFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/SaveFileAs;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/SaveAllFiles;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/OpenFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/OpenFileWith;cs+class://ICSharpCode/SharpDevelop/Commands/OpenFile;Void OpenFiles(UnknownType);Void OpenFiles(UnknownType);Run
cs+class://ICSharpCode/SharpDevelop/Commands/ExitWorkbenchCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/ClearRecentFiles;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/ClearRecentProjects;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/CloseFileTab;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/CloseAllButThisFileTab;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/SaveFileTab;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/SaveFileAsTab;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/CopyPathName;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/NavigateToFileInProjectBrowser;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Commands/TabStrip/OpenFolderContainingFile;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
