From;To;Source
cs+class://ICSharpCode/NRefactory/Semantics/ByReferenceResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ConstantResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ConversionResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/SizeOfResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ErrorResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ForEachResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/InitializedObjectResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/InvocationResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/MemberResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/LocalResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/MemberResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/NamedArgumentResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/NamespaceResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/OperatorResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ThisResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/TypeIsResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/TypeOfResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/TypeResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/UnknownMemberResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/UnknownMethodResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/UnknownMemberResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/UnknownIdentifierResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/AnonymousType/AnonymousTypeProperty;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedProperty;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/AnonymousType/AnonymousTypeAccessor;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedMethod;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/ArrayType;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/TypeWithElementType;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/ByReferenceType;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/TypeWithElementType;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedMember;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedEntity;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedEvent;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedField;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedMethod;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedProperty;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractResolvedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultTypeParameter;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractTypeParameter;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/MinimalCorlib;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultUnresolvedAssembly;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedEvent;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedField;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedParameterizedMember;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedMethod;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedParameterizedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedMethod/SpecializedTypeParameter;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/AbstractTypeParameter;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedProperty;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/SpecializedParameterizedMember;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/VoidTypeDefinition;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/DefaultResolvedTypeDefinition;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/ReflectionNameParseException;cs+class://System/Exception;(not implemented)
cs+class://ICSharpCode/NRefactory/TypeSystem/PointerType;cs+class://ICSharpCode/NRefactory/TypeSystem/Implementation/TypeWithElementType;(not implemented)
cs+class://ICSharpCode/NRefactory/Utils/BinaryReaderWith7BitEncodedInts;cs+class://System/IO/BinaryReader;(not implemented)
cs+class://ICSharpCode/NRefactory/Utils/BinaryWriterWith7BitEncodedInts;cs+class://System/IO/BinaryWriter;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/Analysis/DefiniteAssignmentAnalysis/DefiniteAssignmentNode;cs+class://ICSharpCode/NRefactory/CSharp/Analysis/ControlFlowNode;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/CSharpModifierToken;cs+class://ICSharpCode/NRefactory/CSharp/CSharpTokenNode;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/CSharpTokenNode/NullCSharpTokenNode;cs+class://ICSharpCode/NRefactory/CSharp/CSharpTokenNode;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/InsertMissingTokensDecorator;cs+class://ICSharpCode/NRefactory/CSharp/DecoratingTokenWriter;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/InsertRequiredSpacesDecorator;cs+class://ICSharpCode/NRefactory/CSharp/DecoratingTokenWriter;(not implemented)
cs+class://ICSharpCode/NRefactory/CSharp/InsertSpecialsDecorator;cs+class://ICSharpCode/NRefactory/CSharp/DecoratingTokenWriter;(not implemented)
